"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2025","22,650.0","22,750.0","22,900.0","22,600.0","19.77M","-0.22%"
"06/30/2025","22,700.0","22,900.0","22,950.0","22,700.0","19.89M","-0.66%"
"06/27/2025","22,850.0","22,950.0","22,950.0","22,750.0","16.48M","0.22%"
"06/26/2025","22,800.0","23,050.0","23,150.0","22,750.0","38.37M","0.59%"
"06/25/2025","22,666.7","22,583.3","22,875.0","22,458.3","46.37M","0.74%"
"06/24/2025","22,500.0","22,541.7","22,666.7","22,458.3","33.44M","0.56%"
"06/23/2025","22,375.0","22,375.0","22,500.0","22,166.7","26.63M","-0.56%"
"06/20/2025","22,500.0","22,500.0","22,583.3","22,375.0","28.10M","0.37%"
"06/19/2025","22,416.7","22,625.0","22,666.7","22,333.3","28.09M","-0.92%"
"06/18/2025","22,625.0","22,416.7","22,666.7","22,333.3","37.76M","1.12%"
"06/17/2025","22,375.0","22,416.7","22,583.3","22,291.7","31.95M","0.37%"
"06/16/2025","22,291.7","21,958.3","22,500.0","21,958.3","35.68M","1.33%"
"06/13/2025","22,000.0","22,166.7","22,291.7","21,916.7","46.52M","-1.49%"
"06/12/2025","22,333.3","21,791.7","22,583.3","21,791.7","62.66M","2.68%"
"06/11/2025","21,750.0","21,916.7","21,958.3","21,666.7","19.86M","-0.38%"
"06/10/2025","21,833.3","22,083.3","22,375.0","21,833.3","35.29M","-0.38%"
"06/09/2025","21,916.7","21,750.0","22,000.0","21,625.0","29.99M","0.96%"
"06/06/2025","21,708.3","21,708.3","22,083.3","21,583.3","50.69M","1.17%"
"06/05/2025","21,458.3","21,666.7","21,708.3","21,416.7","22.54M","-0.77%"
"06/04/2025","21,625.0","21,750.0","22,000.0","21,625.0","30.82M","-0.19%"
"06/03/2025","21,666.7","21,500.0","21,833.3","21,458.3","37.25M","1.76%"
"06/02/2025","21,291.7","21,333.3","21,375.0","21,125.0","26.32M","-0.78%"
"05/30/2025","21,458.3","21,375.0","22,208.3","21,375.0","77.97M","0.78%"
"05/29/2025","21,291.7","21,416.7","21,500.0","21,250.0","19.72M","-0.20%"
"05/28/2025","21,333.3","21,458.3","21,583.3","21,291.7","18.73M","0.20%"
"05/27/2025","21,291.7","21,291.7","21,791.7","21,291.7","32.27M","0.00%"
"05/26/2025","21,291.7","21,375.0","21,375.0","20,875.0","32.92M","-0.20%"
"05/23/2025","21,333.3","21,458.3","21,541.7","21,291.7","13.32M","-0.19%"
"05/22/2025","21,375.0","21,458.3","21,625.0","21,291.7","29.24M","-0.39%"
"05/21/2025","21,458.3","21,458.3","21,750.0","21,375.0","24.18M","0.39%"
"05/20/2025","21,375.0","21,333.3","21,500.0","21,333.3","20.94M","0.00%"
"05/19/2025","21,375.0","21,458.3","21,625.0","21,291.7","17.99M","-0.58%"
"05/16/2025","21,500.0","21,791.7","21,833.3","21,500.0","20.17M","-1.34%"
"05/15/2025","21,791.7","21,833.3","21,833.3","21,541.7","27.14M","0.00%"
"05/14/2025","21,791.7","21,583.3","22,125.0","21,541.7","40.89M","1.36%"
"05/13/2025","21,500.0","21,333.3","21,666.7","21,333.3","24.37M","1.57%"
"05/12/2025","21,166.7","21,291.7","21,458.3","20,625.0","77.68M","-0.97%"
"05/09/2025","21,375.0","21,416.7","21,458.3","21,250.0","13.21M","-0.19%"
"05/08/2025","21,416.7","21,166.7","21,541.7","21,083.3","23.87M","1.18%"
"05/07/2025","21,166.7","21,125.0","21,250.0","21,125.0","13.80M","-0.20%"
"05/06/2025","21,208.3","21,458.3","21,708.3","21,208.3","25.12M","-0.97%"
"05/05/2025","21,416.7","21,375.0","21,458.3","21,125.0","15.06M","0.78%"
"04/29/2025","21,250.0","21,375.0","21,416.7","21,166.7","17.36M","-0.58%"
"04/28/2025","21,375.0","21,416.7","21,416.7","21,125.0","11.71M","-0.19%"
"04/25/2025","21,416.7","21,208.3","21,416.7","21,041.7","29.82M","0.39%"
"04/24/2025","21,333.3","21,416.7","21,416.7","21,000.0","20.65M","0.20%"
"04/23/2025","21,291.7","21,250.0","21,416.7","21,125.0","26.68M","2.00%"
"04/22/2025","20,875.0","20,666.7","20,916.7","19,500.0","56.94M","0.40%"
"04/21/2025","20,791.7","21,208.3","21,208.3","20,791.7","20.77M","-1.96%"
"04/18/2025","21,208.3","21,375.0","21,458.3","21,208.3","24.92M","-0.20%"
"04/17/2025","21,250.0","21,000.0","21,333.3","20,666.7","29.33M","0.00%"
"04/16/2025","21,250.0","21,583.3","21,666.7","20,875.0","30.85M","-1.35%"
"04/15/2025","21,541.7","20,958.3","21,791.7","20,875.0","60.68M","1.97%"
"04/14/2025","21,125.0","20,666.7","21,458.3","20,625.0","61.44M","4.32%"
"04/11/2025","20,250.0","20,166.7","20,250.0","19,583.3","91.53M","6.81%"
"04/10/2025","18,958.3","18,958.3","18,958.3","18,958.3","3.67M","6.81%"
"04/09/2025","17,750.0","17,750.0","18,583.3","17,750.0","92.59M","-6.99%"
"04/08/2025","19,083.3","19,583.3","20,000.0","19,083.3","42.53M","-6.91%"
"04/04/2025","20,500.0","19,666.7","20,708.3","19,666.7","87.82M","-2.96%"
"04/03/2025","21,125.0","21,500.0","22,041.7","21,125.0","96.84M","-6.97%"
"04/02/2025","22,708.3","22,625.0","22,833.3","22,583.3","20.14M","0.93%"
"04/01/2025","22,500.0","22,333.3","22,541.7","22,291.7","16.82M","0.93%"
"03/31/2025","22,291.7","22,541.7","22,583.3","22,291.7","31.84M","-1.47%"
"03/28/2025","22,625.0","22,875.0","22,916.7","22,583.3","20.48M","-1.27%"
"03/27/2025","22,916.7","23,083.3","23,083.3","22,875.0","14.41M","-0.18%"
"03/26/2025","22,958.3","22,666.7","23,291.7","22,625.0","52.78M","1.29%"
"03/25/2025","22,666.7","22,708.3","22,833.3","22,583.3","24.12M","0.18%"
"03/24/2025","22,625.0","22,625.0","22,708.3","22,416.7","19.48M","0.00%"
"03/21/2025","22,625.0","22,583.3","22,708.3","22,541.7","22.69M","0.00%"
"03/20/2025","22,625.0","22,750.0","22,875.0","22,541.7","30.03M","-0.37%"
"03/19/2025","22,708.3","23,000.0","23,000.0","22,583.3","45.51M","-1.27%"
"03/18/2025","23,000.0","23,250.0","23,375.0","23,000.0","22.49M","-0.90%"
"03/17/2025","23,208.3","23,250.0","23,458.3","23,125.0","23.66M","1.09%"
"03/14/2025","22,958.3","23,083.3","23,208.3","22,958.3","21.94M","-0.54%"
"03/13/2025","23,083.3","23,208.3","23,375.0","23,083.3","29.77M","-0.36%"
"03/12/2025","23,166.7","23,500.0","23,500.0","23,166.7","24.77M","-1.24%"
"03/11/2025","23,458.3","23,000.0","23,458.3","23,000.0","31.31M","0.72%"
"03/10/2025","23,291.7","23,416.7","23,500.0","23,291.7","28.30M","-0.36%"
"03/07/2025","23,375.0","23,333.3","23,416.7","23,125.0","39.76M","0.36%"
"03/06/2025","23,291.7","23,000.0","23,291.7","23,000.0","44.37M","1.45%"
"03/05/2025","22,958.3","23,208.3","23,250.0","22,958.3","36.46M","-1.08%"
"03/04/2025","23,208.3","23,375.0","23,375.0","23,041.7","32.91M","-0.71%"
"03/03/2025","23,375.0","23,375.0","23,541.7","23,333.3","24.80M","0.18%"
"02/28/2025","23,333.3","23,666.7","23,666.7","23,291.7","29.06M","-1.58%"
"02/27/2025","23,708.3","23,166.7","23,708.3","23,000.0","61.34M","2.52%"
"02/26/2025","23,125.0","23,000.0","23,291.7","22,958.3","38.18M","0.91%"
"02/25/2025","22,916.7","23,000.0","23,083.3","22,666.7","37.89M","-0.72%"
"02/24/2025","23,083.3","23,583.3","23,583.3","22,958.3","88.67M","4.73%"
"02/21/2025","22,041.7","22,125.0","22,166.7","22,000.0","13.28M","-0.38%"
"02/20/2025","22,125.0","22,125.0","22,166.7","22,083.3","14.29M","0.19%"
"02/19/2025","22,083.3","22,166.7","22,166.7","22,000.0","16.38M","-0.19%"
"02/18/2025","22,125.0","21,958.3","22,166.7","21,916.7","29.93M","1.53%"
"02/17/2025","21,791.7","21,791.7","21,875.0","21,708.3","17.24M","0.19%"
"02/14/2025","21,750.0","21,750.0","21,916.7","21,666.7","22.30M","0.77%"
"02/13/2025","21,583.3","21,625.0","21,666.7","21,541.7","11.40M","0.19%"
"02/12/2025","21,541.7","21,833.3","21,833.3","21,541.7","16.38M","-0.96%"
"02/11/2025","21,750.0","21,208.3","21,750.0","21,208.3","34.68M","2.76%"
"02/10/2025","21,166.7","22,083.3","22,083.3","21,166.7","73.32M","-4.69%"
"02/07/2025","22,208.3","22,333.3","22,333.3","22,166.7","15.06M","-0.56%"
"02/06/2025","22,333.3","22,333.3","22,458.3","22,291.7","16.24M","0.00%"
"02/05/2025","22,333.3","22,375.0","22,500.0","22,291.7","17.36M","-0.19%"
"02/04/2025","22,375.0","22,083.3","22,500.0","22,041.7","20.83M","1.70%"
"02/03/2025","22,000.0","22,083.3","22,166.7","21,875.0","20.37M","-0.56%"
"01/24/2025","22,125.0","22,208.3","22,208.3","22,041.7","12.48M","-0.38%"
"01/23/2025","22,208.3","21,833.3","22,291.7","21,791.7","18.95M","1.91%"
"01/22/2025","21,791.7","22,000.0","22,000.0","21,791.7","12.34M","-0.57%"
"01/21/2025","21,916.7","22,166.7","22,166.7","21,833.3","12.51M","-0.57%"
"01/20/2025","22,041.7","22,083.3","22,291.7","22,041.7","11.59M","-0.19%"
"01/17/2025","22,083.3","21,916.7","22,083.3","21,750.0","16.74M","0.76%"
"01/16/2025","21,916.7","21,916.7","22,041.7","21,708.3","13.45M","0.38%"
"01/15/2025","21,833.3","21,666.7","21,875.0","21,583.3","13.47M","1.35%"
"01/14/2025","21,541.7","21,625.0","21,666.7","21,500.0","9.19M","-0.19%"
"01/13/2025","21,583.3","21,291.7","21,708.3","21,208.3","16.29M","1.37%"
"01/10/2025","21,291.7","21,666.7","21,750.0","21,291.7","17.13M","-1.73%"
"01/09/2025","21,666.7","21,916.7","21,916.7","21,583.3","11.08M","-0.95%"
"01/08/2025","21,875.0","21,708.3","21,875.0","21,625.0","15.55M","0.77%"
"01/07/2025","21,708.3","21,791.7","22,000.0","21,708.3","17.28M","0.00%"
"01/06/2025","21,708.3","22,166.7","22,250.0","21,708.3","18.30M","-2.07%"
"01/03/2025","22,166.7","22,416.7","22,500.0","22,166.7","15.84M","-1.48%"
"01/02/2025","22,500.0","22,250.0","22,541.7","22,250.0","17.95M","1.31%"
"12/31/2024","22,208.3","22,291.7","22,291.7","22,166.7","12.30M","-0.37%"
"12/30/2024","22,291.7","22,333.3","22,375.0","22,208.3","14.60M","-0.37%"
"12/27/2024","22,375.0","22,500.0","22,500.0","22,333.3","13.67M","-0.56%"
"12/26/2024","22,500.0","22,625.0","22,666.7","22,375.0","11.97M","-0.55%"
"12/25/2024","22,625.0","22,291.7","22,625.0","22,291.7","20.57M","1.69%"
"12/24/2024","22,250.0","22,416.7","22,416.7","22,166.7","16.15M","-1.11%"
"12/23/2024","22,500.0","22,291.7","22,541.7","22,291.7","15.48M","1.12%"
"12/20/2024","22,250.0","22,375.0","22,458.3","22,250.0","16.50M","-0.56%"
"12/19/2024","22,375.0","22,500.0","22,625.0","22,333.3","36.40M","-1.83%"
"12/18/2024","22,791.7","22,500.0","22,791.7","22,458.3","15.35M","1.30%"
"12/17/2024","22,500.0","22,500.0","22,583.3","22,375.0","12.97M","0.00%"
"12/16/2024","22,500.0","22,666.7","22,791.7","22,375.0","19.98M","-0.74%"
"12/13/2024","22,666.7","22,750.0","22,833.3","22,583.3","20.72M","-1.09%"
"12/12/2024","22,916.7","23,125.0","23,250.0","22,791.7","25.16M","-0.90%"
"12/11/2024","23,125.0","23,250.0","23,458.3","23,000.0","20.44M","-0.54%"
"12/10/2024","23,250.0","23,083.3","23,500.0","23,000.0","39.23M","0.90%"
"12/09/2024","23,041.7","23,041.7","23,250.0","22,916.7","19.14M","0.18%"
"12/06/2024","23,000.0","23,208.3","23,250.0","22,916.7","28.50M","-0.90%"
"12/05/2024","23,208.3","22,250.0","23,208.3","22,000.0","53.70M","4.31%"
"12/04/2024","22,250.0","22,375.0","22,375.0","22,208.3","15.01M","-1.11%"
"12/03/2024","22,500.0","22,375.0","22,500.0","22,166.7","18.97M","0.37%"
"12/02/2024","22,416.7","22,458.3","22,625.0","22,291.7","22.29M","0.56%"
"11/29/2024","22,291.7","22,041.7","22,291.7","21,916.7","16.65M","1.33%"
"11/28/2024","22,000.0","22,041.7","22,291.7","21,916.7","16.96M","0.38%"
"11/27/2024","21,916.7","21,958.3","22,041.7","21,750.0","9.56M","-0.19%"
"11/26/2024","21,958.3","21,916.7","22,083.3","21,833.3","15.82M","0.19%"
"11/25/2024","21,916.7","21,750.0","21,916.7","21,708.3","15.40M","0.77%"
"11/22/2024","21,750.0","21,583.3","21,875.0","21,541.7","20.72M","0.97%"
"11/21/2024","21,541.7","21,375.0","21,625.0","21,291.7","15.33M","0.98%"
"11/20/2024","21,333.3","21,166.7","21,666.7","21,041.7","27.30M","0.59%"
"11/19/2024","21,208.3","21,541.7","21,666.7","21,208.3","19.01M","-1.36%"
"11/18/2024","21,500.0","21,666.7","21,708.3","21,250.0","24.72M","-0.39%"
"11/15/2024","21,583.3","21,916.7","21,958.3","21,583.3","33.13M","-1.52%"
"11/14/2024","21,916.7","22,541.7","22,583.3","21,916.7","31.88M","-2.77%"
"11/13/2024","22,541.7","22,666.7","22,833.3","22,375.0","26.75M","-1.64%"
"11/12/2024","22,916.7","23,125.0","23,250.0","22,750.0","28.76M","-0.72%"
"11/11/2024","23,083.3","22,541.7","23,083.3","22,458.3","49.05M","2.59%"
"11/08/2024","22,500.0","22,666.7","22,916.7","22,500.0","29.72M","0.19%"
"11/07/2024","22,458.3","22,583.3","22,750.0","22,458.3","19.18M","0.00%"
"11/06/2024","22,458.3","22,208.3","22,625.0","22,125.0","25.19M","1.70%"
"11/05/2024","22,083.3","21,916.7","22,125.0","21,833.3","9.71M","0.76%"
"11/04/2024","21,916.7","22,125.0","22,125.0","21,791.7","21.97M","-0.94%"
"11/01/2024","22,125.0","22,333.3","22,375.0","22,041.7","15.84M","-1.30%"
"10/31/2024","22,416.7","22,541.7","22,541.7","22,333.3","15.99M","-0.37%"
"10/30/2024","22,500.0","22,541.7","22,583.3","22,333.3","13.28M","-0.18%"
"10/29/2024","22,541.7","22,333.3","22,625.0","22,250.0","18.88M","1.12%"
"10/28/2024","22,291.7","22,083.3","22,458.3","22,083.3","14.32M","1.13%"
"10/25/2024","22,041.7","22,166.7","22,208.3","22,041.7","11.33M","0.00%"
"10/24/2024","22,041.7","22,083.3","22,250.0","21,958.3","19.08M","0.00%"
"10/23/2024","22,041.7","22,208.3","22,250.0","21,958.3","16.33M","-0.75%"
"10/22/2024","22,208.3","22,208.3","22,375.0","22,083.3","21.98M","-0.37%"
"10/21/2024","22,291.7","22,458.3","22,541.7","22,250.0","16.67M","-0.74%"
"10/18/2024","22,458.3","22,708.3","22,750.0","22,458.3","19.49M","-1.10%"
"10/17/2024","22,708.3","22,625.0","22,708.3","22,291.7","24.67M","0.55%"
"10/16/2024","22,583.3","22,625.0","22,750.0","22,583.3","13.95M","-0.18%"
"10/15/2024","22,625.0","22,833.3","22,875.0","22,625.0","24.19M","0.37%"
"10/14/2024","22,541.7","22,791.7","22,875.0","22,541.7","21.57M","-0.92%"
"10/11/2024","22,750.0","22,791.7","22,875.0","22,500.0","18.91M","0.18%"
"10/10/2024","22,708.3","23,000.0","23,083.3","22,708.3","28.59M","-0.91%"
"10/09/2024","22,916.7","22,625.0","22,916.7","22,541.7","49.94M","2.04%"
"10/08/2024","22,458.3","22,000.0","22,583.3","21,958.3","45.80M","2.08%"
"10/07/2024","22,000.0","22,000.0","22,083.3","21,833.3","14.96M","0.76%"
"10/04/2024","21,833.3","21,833.3","22,083.3","21,750.0","21.07M","0.00%"
"10/03/2024","21,833.3","22,041.7","22,208.3","21,750.0","32.16M","-0.38%"
"10/02/2024","21,916.7","22,250.0","22,250.0","21,916.7","25.54M","-1.68%"
"10/01/2024","22,291.7","22,333.3","22,500.0","22,208.3","45.42M","1.52%"
"09/30/2024","21,958.3","21,833.3","22,166.7","21,791.7","44.91M","1.15%"
"09/27/2024","21,708.3","21,791.7","21,916.7","21,583.3","36.65M","0.00%"
"09/26/2024","21,708.3","21,916.7","22,041.7","21,708.3","26.09M","-0.57%"
"09/25/2024","21,833.3","21,750.0","22,000.0","21,708.3","49.21M","1.35%"
"09/24/2024","21,541.7","21,416.7","21,541.7","21,375.0","12.78M","0.58%"
"09/23/2024","21,416.7","21,500.0","21,750.0","21,416.7","18.62M","0.19%"
"09/20/2024","21,375.0","21,250.0","21,708.3","21,208.3","53.51M","1.58%"
"09/19/2024","21,041.7","21,083.3","21,250.0","21,000.0","16.41M","0.60%"
"09/18/2024","20,916.7","21,041.7","21,125.0","20,916.7","15.88M","-0.59%"
"09/17/2024","21,041.7","20,750.0","21,041.7","20,666.7","15.81M","1.61%"
"09/16/2024","20,708.3","20,833.3","21,041.7","20,708.3","17.49M","-0.60%"
"09/13/2024","20,833.3","20,958.3","21,083.3","20,833.3","14.91M","-0.40%"
"09/12/2024","20,916.7","21,166.7","21,291.7","20,916.7","10.84M","-0.99%"
"09/11/2024","21,125.0","20,958.3","21,291.7","20,875.0","17.06M","0.80%"
"09/10/2024","20,958.3","21,458.3","21,541.7","20,958.3","18.02M","-1.76%"
"09/09/2024","21,333.3","21,166.7","21,833.3","21,083.3","39.17M","0.79%"
"09/06/2024","21,166.7","20,875.0","21,166.7","20,625.0","27.42M","1.40%"
"09/05/2024","20,875.0","21,125.0","21,125.0","20,833.3","27.08M","-0.79%"
"09/04/2024","21,041.7","21,083.3","21,208.3","20,916.7","22.88M","-0.98%"
"08/30/2024","21,250.0","21,416.7","21,458.3","21,250.0","21.56M","-0.39%"
"08/29/2024","21,333.3","21,500.0","21,625.0","21,333.3","19.40M","-0.39%"
"08/28/2024","21,416.7","21,541.7","21,625.0","21,375.0","22.39M","-0.19%"
"08/27/2024","21,458.3","21,666.7","21,708.3","21,416.7","14.94M","-0.96%"
"08/26/2024","21,666.7","21,791.7","22,000.0","21,625.0","25.97M","-0.19%"
"08/23/2024","21,708.3","21,458.3","21,708.3","21,166.7","26.89M","1.17%"
"08/22/2024","21,458.3","21,833.3","21,875.0","21,416.7","28.84M","-1.53%"
"08/21/2024","21,791.7","21,541.7","21,875.0","21,500.0","29.77M","1.36%"
"08/20/2024","21,500.0","21,666.7","21,833.3","21,500.0","24.54M","-0.19%"
"08/19/2024","21,541.7","21,500.0","21,958.3","21,416.7","29.31M","0.98%"
"08/16/2024","21,333.3","21,000.0","21,416.7","20,833.3","43.59M","1.59%"
"08/15/2024","21,000.0","21,208.3","21,208.3","21,000.0","19.48M","-0.98%"
"08/14/2024","21,208.3","21,250.0","21,416.7","21,083.3","16.43M","0.20%"
"08/13/2024","21,166.7","21,583.3","21,625.0","21,000.0","31.49M","-1.74%"
"08/12/2024","21,541.7","21,708.3","21,750.0","21,416.7","15.09M","-0.77%"
"08/09/2024","21,708.3","21,583.3","21,750.0","21,416.7","14.55M","1.76%"
"08/08/2024","21,333.3","21,625.0","21,750.0","21,291.7","26.30M","-1.73%"
"08/07/2024","21,708.3","22,041.7","22,041.7","21,625.0","18.49M","-0.95%"
"08/06/2024","21,916.7","21,708.3","22,041.7","21,541.7","23.71M","1.35%"
"08/05/2024","21,625.0","22,333.3","22,375.0","21,500.0","54.73M","-4.77%"
"08/02/2024","22,708.3","22,208.3","22,750.0","22,083.3","21.05M","2.06%"
"08/01/2024","22,250.0","22,916.7","23,041.7","22,166.7","36.58M","-1.84%"
"07/31/2024","22,666.7","23,250.0","23,250.0","22,583.3","29.14M","-2.51%"
"07/30/2024","23,250.0","23,333.3","23,500.0","23,250.0","18.65M","0.00%"
"07/29/2024","23,250.0","23,041.7","23,416.7","23,000.0","18.53M","1.64%"
"07/26/2024","22,875.0","22,791.7","23,041.7","22,791.7","10.57M","0.37%"
"07/25/2024","22,791.7","23,000.0","23,041.7","22,750.0","15.98M","-1.26%"
"07/24/2024","23,083.3","23,125.0","23,291.7","22,583.3","23.08M","-0.36%"
"07/23/2024","23,166.7","23,375.0","23,500.0","23,166.7","18.07M","-0.89%"
"07/22/2024","23,375.0","23,416.7","23,500.0","23,125.0","22.08M","-0.53%"
"07/19/2024","23,500.0","23,666.7","23,666.7","23,500.0","14.24M","-0.70%"
"07/18/2024","23,666.7","23,500.0","23,708.3","23,375.0","24.57M","0.71%"
"07/17/2024","23,500.0","23,791.7","23,833.3","23,000.0","30.66M","-0.88%"
"07/16/2024","23,708.3","23,750.0","23,875.0","23,666.7","14.79M","0.00%"
"07/15/2024","23,708.3","23,791.7","23,958.3","23,500.0","19.55M","-0.18%"
"07/12/2024","23,750.0","24,083.3","24,125.0","23,708.3","21.66M","-1.21%"
"07/11/2024","24,041.7","24,291.7","24,375.0","24,041.7","17.41M","-0.35%"
"07/10/2024","24,125.0","24,250.0","24,583.3","24,125.0","37.16M","-0.17%"
"07/09/2024","24,166.7","24,000.0","24,333.3","23,958.3","27.06M","0.69%"
"07/08/2024","24,000.0","23,916.7","24,208.3","23,875.0","22.12M","0.52%"
"07/05/2024","23,875.0","23,916.7","24,125.0","23,833.3","14.83M","-0.17%"
"07/04/2024","23,916.7","24,041.7","24,208.3","23,833.3","11.22M","-0.17%"
"07/03/2024","23,958.3","24,166.7","24,250.0","23,916.7","20.70M","0.17%"
"07/02/2024","23,916.7","23,625.0","24,041.7","23,541.7","25.51M","1.23%"
"07/01/2024","23,625.0","23,583.3","23,750.0","23,375.0","16.27M","0.18%"
"06/28/2024","23,583.3","23,958.3","24,083.3","23,583.3","26.62M","-1.91%"
"06/27/2024","24,041.7","24,166.7","24,208.3","23,916.7","12.10M","-0.17%"
"06/26/2024","24,083.3","23,958.3","24,333.3","23,833.3","23.70M","0.70%"
"06/25/2024","23,916.7","23,833.3","24,208.3","23,750.0","19.99M","0.00%"
"06/24/2024","23,916.7","24,166.7","24,250.0","23,541.7","45.42M","-1.20%"
"06/21/2024","24,208.3","24,458.3","24,458.3","24,166.7","17.14M","-1.02%"
"06/20/2024","24,458.3","24,375.0","24,500.0","24,125.0","33.33M","0.00%"
"06/19/2024","24,458.3","24,583.3","24,625.0","24,375.0","23.01M","-0.17%"
"06/18/2024","24,500.0","24,583.3","24,750.0","24,500.0","19.84M","-0.17%"
"06/17/2024","24,541.7","24,250.0","24,958.3","24,166.7","41.25M","1.20%"
"06/14/2024","24,250.0","24,583.3","24,958.3","24,250.0","41.15M","-1.36%"
"06/13/2024","24,583.3","24,708.3","24,750.0","24,416.7","24.66M","-0.34%"
"06/12/2024","24,666.7","24,166.7","24,666.7","24,166.7","23.14M","1.72%"
"06/11/2024","24,250.0","24,500.0","24,708.3","24,208.3","32.38M","-0.68%"
"06/10/2024","24,416.7","24,500.0","24,541.7","24,291.7","24.31M","0.00%"
"06/07/2024","24,416.7","24,458.3","24,500.0","24,250.0","17.86M","0.00%"
"06/06/2024","24,416.7","24,375.0","24,708.3","24,083.3","24.99M","0.17%"
"06/05/2024","24,375.0","24,416.7","24,583.3","24,250.0","23.03M","-0.17%"
"06/04/2024","24,416.7","24,166.7","24,833.3","24,166.7","47.59M","1.03%"
"06/03/2024","24,166.7","24,000.0","24,250.0","24,000.0","24.76M","1.40%"
"05/31/2024","23,833.3","23,666.7","24,000.0","23,375.0","21.28M","1.24%"
"05/30/2024","23,541.7","23,750.0","23,791.7","23,333.3","32.71M","-1.22%"
"05/29/2024","23,833.3","24,250.0","24,375.0","23,833.3","25.92M","-1.89%"
"05/28/2024","24,291.7","24,166.7","24,333.3","24,000.0","21.08M","0.87%"
"05/27/2024","24,083.3","24,083.3","24,416.7","23,875.0","18.91M","0.00%"
"05/24/2024","24,083.3","24,416.7","24,583.3","23,750.0","36.18M","-2.03%"
"05/23/2024","24,583.3","24,041.7","24,583.3","23,833.3","45.44M","3.67%"
"05/22/2024","23,712.1","24,128.8","24,204.5","23,598.5","52.51M","-1.73%"
"05/21/2024","24,128.8","24,242.4","24,242.4","23,825.8","27.54M","-0.47%"
"05/20/2024","24,242.4","23,977.3","24,356.1","23,939.4","61.37M","1.27%"
"05/17/2024","23,939.4","23,939.4","23,939.4","23,598.5","37.81M","0.00%"
"05/16/2024","23,939.4","23,939.4","24,128.8","23,825.8","36.17M","1.28%"
"05/15/2024","23,636.4","22,916.7","23,750.0","22,916.7","59.55M","3.31%"
"05/14/2024","22,878.8","23,030.3","23,257.6","22,803.0","20.68M","0.00%"
"05/13/2024","22,878.8","23,143.9","23,219.7","22,803.0","17.39M","-0.82%"
"05/10/2024","23,068.2","23,181.8","23,219.7","22,689.4","25.06M","0.00%"
"05/09/2024","23,068.2","23,409.1","23,409.1","22,765.1","25.64M","-0.81%"
"05/08/2024","23,257.6","22,840.9","23,484.8","22,537.9","45.26M","1.82%"
"05/07/2024","22,840.9","22,272.7","22,878.8","22,159.1","39.78M","2.90%"
"05/06/2024","22,197.0","21,856.1","22,234.8","21,818.2","35.78M","2.27%"
"05/03/2024","21,704.5","21,477.3","22,045.4","21,477.3","22.06M","1.06%"
"05/02/2024","21,477.3","21,515.1","21,515.1","21,250.0","9.67M","-0.18%"
"04/26/2024","21,515.1","21,439.4","21,628.8","21,250.0","24.16M","-0.53%"
"04/25/2024","21,628.8","21,742.4","21,742.4","21,439.4","14.83M","-0.87%"
"04/24/2024","21,818.2","21,136.4","21,931.8","21,022.7","30.43M","4.35%"
"04/23/2024","20,909.1","21,212.1","21,250.0","20,795.4","24.24M","-1.43%"
"04/22/2024","21,212.1","21,363.6","21,363.6","21,098.5","16.36M","0.72%"
"04/19/2024","21,060.6","21,060.6","21,477.3","20,833.3","34.50M","-0.71%"
"04/17/2024","21,212.1","21,590.9","21,628.8","21,136.4","20.56M","-1.23%"
"04/16/2024","21,477.3","21,590.9","21,628.8","21,098.5","44.12M","-0.53%"
"04/15/2024","21,590.9","22,613.6","22,689.4","21,287.9","41.06M","-4.84%"
"04/12/2024","22,689.4","22,727.3","22,803.0","22,613.6","18.37M","0.17%"
"04/11/2024","22,651.5","22,310.6","22,840.9","22,310.6","25.40M","0.84%"
"04/10/2024","22,462.1","22,689.4","22,803.0","22,462.1","14.70M","-0.84%"
"04/09/2024","22,651.5","22,424.2","22,651.5","22,386.4","12.99M","1.01%"
"04/08/2024","22,424.2","22,310.6","22,575.8","22,197.0","22.06M","0.51%"
"04/05/2024","22,310.6","22,310.6","22,537.9","22,159.1","31.70M","-0.51%"
"04/04/2024","22,424.2","22,689.4","22,765.1","22,386.4","34.81M","-1.17%"
"04/03/2024","22,689.4","22,992.4","23,068.2","22,689.4","28.37M","-1.48%"
"04/02/2024","23,030.3","22,651.5","23,030.3","22,575.8","34.71M","1.00%"
"04/01/2024","22,803.0","22,878.8","22,992.4","22,689.4","27.40M","-0.50%"
"03/29/2024","22,916.7","23,181.8","23,181.8","22,916.7","19.56M","-0.98%"
"03/28/2024","23,143.9","23,371.2","23,371.2","23,068.2","25.23M","-0.16%"
"03/27/2024","23,181.8","23,409.1","23,560.6","23,181.8","32.11M","0.16%"
"03/26/2024","23,143.9","22,878.8","23,143.9","22,803.0","15.81M","1.16%"
"03/25/2024","22,878.8","23,143.9","23,447.0","22,765.1","28.18M","-1.15%"
"03/22/2024","23,143.9","22,992.4","23,257.6","22,878.8","49.35M","0.99%"
"03/21/2024","22,916.7","22,992.4","23,143.9","22,803.0","26.36M","0.83%"
"03/20/2024","22,727.3","22,613.6","22,803.0","22,537.9","17.12M","0.67%"
"03/19/2024","22,575.8","22,348.5","23,181.8","22,272.7","35.61M","0.68%"
"03/18/2024","22,424.2","22,840.9","22,878.8","21,969.7","66.13M","-1.66%"
